"Education","Marital_Status","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Country","Income_Clean","Age"
"Graduation","Divorced",0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,"SP",84835,54
"Graduation","Single",0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,"CA",57091,63
"Graduation","Married",0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,"US",67267,66
"Graduation","Together",1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,"AUS",32474,57
"Graduation","Single",1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,"SP",21474,35
"PhD","Single",0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,"SP",71691,66
"2n Cycle","Married",0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,"GER",63564,70
"Graduation","Together",0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,"SP",44931,57
"PhD","Married",0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,"US",65324,70
"PhD","Married",0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,"IND",65324,70
"2n Cycle","Married",0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,"US",81044,77
"Master","Together",1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,"SP",62499,45
"PhD","Widow",0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,"IND",67786,65
"Graduation","Married",0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,"CA",26872,43
"Graduation","Married",0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,"SP",4428,55
"Graduation","Married",1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,"SP",54809,47
"Graduation","Married",1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,"SP",54809,47
"PhD","Divorced",0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,"SP",32173,66
"2n Cycle","Single",0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,"CA",47823,64
"Master","Single",2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,"CA",30523,66
"Master","Together",0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,"SA",36634,70
"Master","Single",0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,"IND",43456,58
"Master","Married",1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,"GER",40662,45
"PhD","Married",1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,"SP",49544,48
