"Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Income_Clean","Age","Education","Marital_Status","Country"
0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,84835,54,"Graduation","Divorced","SP"
0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,57091,63,"Graduation","Single","CA"
0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,67267,66,"Graduation","Married","US"
1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,32474,57,"Graduation","Together","AUS"
1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,21474,35,"Graduation","Single","SP"
0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,71691,66,"PhD","Single","SP"
0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,63564,70,"2n Cycle","Married","GER"
0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,44931,57,"Graduation","Together","SP"
0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,65324,70,"PhD","Married","US"
0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,65324,70,"PhD","Married","IND"
0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,81044,77,"2n Cycle","Married","US"
1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,62499,45,"Master","Together","SP"
0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,67786,65,"PhD","Widow","IND"
0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,26872,43,"Graduation","Married","CA"
0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,4428,55,"Graduation","Married","SP"
1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,54809,47,"Graduation","Married","SP"
1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,54809,47,"Graduation","Married","SP"
0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,32173,66,"PhD","Divorced","SP"
0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,47823,64,"2n Cycle","Single","CA"
2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,30523,66,"Master","Single","CA"
0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,36634,70,"Master","Together","SA"
0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,43456,58,"Master","Single","IND"
1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,40662,45,"Master","Married","GER"
1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,49544,48,"PhD","Married","SP"
0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,57731,55,"Graduation","Single","IND"
0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,33168,59,"Master","Single","SP"
1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,54450,68,"Graduation","Together","SP"
1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,54450,68,"Graduation","Together","SP"
1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,35340,68,"PhD","Widow","SP"
0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,73170,49,"Graduation","Single","CA"
1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,65808,53,"PhD","Divorced","SP"
0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,79529,38,"Graduation","Married","CA"
2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,34578,52,"PhD","Together","AUS"
0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,46374,50,"PhD","Married","IND"
0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,18351,34,"Graduation","Married","SP"
0,0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,95169,37,"PhD","Single","SP"
0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,65370,40,"2n Cycle","Married","SP"
0,0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,39228,64,"Master","Divorced","SA"
